Companies,Primary Industry Code,HQaddress,Latitude,Longitude
Omega Therapeutics ,Drug Discovery,"20 Acorn Park Drive, Cambridge, MA",42.398112,-71.147299
Olo ,Business/Productivity Software,"26 Broadway, New York, NY",40.857824,-73.930824
Olema Oncology ,Biotechnology,"665 3rd Street, San Francisco, CA",37.779412,-122.393216
Oak Street Health ,Clinics/Outpatient Services,"30 West Monroe Street, Chicago, IL",41.881082,-87.628583
Nuvalent ,Drug Discovery,"One Broadway 14th Floor, Cambridge, MA",42.36488,-71.078136
Nurix ,Drug Discovery,"1700 Owens Street, San Francisco, CA",37.766979,-122.393666
Nkarta Therapeutics ,Biotechnology,"6000 Shoreline Court, South San Francisco, CA",37.657443,-122.423483
NGM Biopharmaceuticals ,Drug Discovery,"333 Oyster Point Boulevard, South San Francisco, CA",37.662675,-122.387169
NextCure ,Biotechnology,"9000 Virginia Manor Road, Beltsville, MD",39.063289,-76.893143
NexImmune ,Biotechnology,"9119 Gaither Road, Gaithersburg, MD",39.118098,-77.187391
New Fortress Energy ,Energy Transportation,"111 West 19th Street, New York, NY",40.740695,-73.99474
NeuroPace ,Therapeutic Devices,"455 North Bernardo Avenue, Mountain View, CA",37.388853,-122.049027
nCino ,Financial Software,"6770 Parker Farm Drive, Wilmington, NC",34.234281,-77.833204
Muscle Maker Grill Franchising ,Restaurants and Bars,"2600 South Shore Boulevard, League City, TX",29.542651,-95.063884
Movano ,Monitoring Equipment,"6200 Stoneridge Mall Road, Pleasanton, CA",37.695796,-121.924665
Motorsport Games ,Entertainment Software,"5972 North east 4th Avenue, Miami, FL",25.831329,-80.188227
Morphic Therapeutic ,Drug Discovery,"35 Gatehouse Drive, A2, Waltham, MA",42.397339,-71.277352
Montrose Environmental Group ,Environmental Services (B2B),"1 Park Plaza, Irvine, CA",33.679735,-117.839674
Monte Rosa Therapeutics ,Drug Discovery,"645 Summer Street, Boston, MA",42.341787,-71.040378
Montauk Energy Capital ,Energy Production,"680 Andersen Drive, Foster Plaza, 5th Floor, Pittsburgh, PA",40.420845,-80.060349
Monopar Therapeutics ,Drug Discovery,"1000 Skokie Boulevard, Wilmette, IL",42.081555,-87.754638
Mister Car Wash ,Automotive,"222 East 5th Street, Tucson, AZ",32.228819,-110.968345
Miromatrix ,Therapeutic Devices,"10399 West 70th Street, Eden Prairie, MN",44.874015,-93.407148
Metacrine ,Pharmaceuticals,"3985 Sorrento Valley Boulevard, San Diego, CA",32.902301,-117.219241
MeridianLink ,Financial Software,"1600 Sunflower Avenue, Costa Mesa, CA",33.695943,-117.925699
MediaAlpha ,Media and Information Services (B2B),"700 South Flower Street, Los Angeles, CA",34.04835,-118.25882
Medallia ,Business/Productivity Software,"575 Market Street, San Francisco, CA",37.789695,-122.400513
McAfee ,Network Management Software,"6220 America Center Drive, San Jose, CA",37.419591,-121.976979
Marqeta ,Financial Software,"180 Grand Avenue, Oakland, CA",37.811326,-122.262938
Maravai Life Sciences ,Biotechnology,"10770 Wateridge Circle, San Diego, CA",32.900765,-117.211973
Madison Square Garden Entertainment ,"Movies, Music and Entertainment","Madison Square Garden, New York, NY",40.742384,-73.986751
Lyra Therapeutics ,Drug Discovery,"480 Arsenal Way, Watertown, MA",42.365376,-71.160943
Lyft ,Automotive,"548 Market Street, San Francisco, CA",37.790057,-122.400783
Lyell ,Drug Discovery,"400 East Jamie Court, South San Francisco, CA",37.649017,-122.387257
Lucira Health ,Diagnostic Equipment,"1412 62nd Street, Emeryville, CA",37.843338,-122.289605
Longeveron ,Biotechnology,"1951 NorthWest 7th Avenue, Miami, FL",25.794616,-80.206749
Longboard Pharmaceuticals ,Drug Discovery,"6154 Nancy Ridge Drive, San Diego, CA",32.889327,-117.184421
LoanDepot ,Thrifts and Mortgage Finance,"26642 Towne Centre Drive, Foothill Ranch, CA",33.675151,-117.666235
LMP Motors ,Automotive,"500 East Broward Boulevard, Fort Lauderdale, FL",26.121956,-80.13842
LifeStance Health ,Clinics/Outpatient Services,"4800 North Scottsdale Road, Scottsdale, AZ",33.508638,-111.928639
Leslie's Poolmart ,Recreational Goods,"2005 East Indian School Road, Phoenix, AZ",33.493829,-112.037764
Lensar ,Surgical Devices,"2800 Discovery Drive, Orlando, FL",28.585855,-81.193176
Lemonade ,Property and Casualty Insurance,"5 Crosby Street, New York, NY",40.719806,-74.000285
Legend Biotech ,Drug Discovery,"10 Knightsbridge Road, Piscataway, NJ",40.549629,-74.484789
Latham Pool Products ,Recreational Goods,"787 Watervliet Shaker Road, Latham, NY",42.739822,-73.795969
Lantern Pharma ,Drug Discovery,"1920 McKinney Avenue, Dallas, TX",32.790158,-96.803333
Landos Biopharma ,Pharmaceuticals,"1800 Kraft Drive SouthWest, Blacksburg, VA",37.202831,-80.410888
Kymera Therapeutics ,Biotechnology,"200 Arsenal Yards Boulevard, Watertown, MA",42.361614,-71.158605
Kubient ,Media and Information Services (B2B),"228 Park Avenue South, New York, NY",40.737553,-73.9885
Kronos Bio ,Biotechnology,"1300 South El Camino Real, San Mateo, CA",37.555049,-122.317369
Kontoor Brands ,Clothing,"400 North Elm Street, Greensboro, NC",36.077484,-79.789428
KnowBe4 ,Educational Software,"33 North Garden Avenue, Clearwater, FL",27.966558,-82.798319
Kiromic ,Drug Discovery,"7707 Fannin South Professional Building, Houston, TX",29.69042,-95.402273
Kinnate Biopharma ,Drug Discovery,"11975 El Camino Real, San Diego, CA",32.937009,-117.238071
Keros Therapeutics ,Biotechnology,"99 Hayden Avenue, Lexington, MA",42.425304,-71.247656
Karuna Therapeutics ,Drug Discovery,"33 Arch Street, Boston, MA",42.3562,-71.05804
Kaltura ,Business/Productivity Software,"250 Park Avenue South, New York, NY",40.7382,-73.988043
Kaleido BioSciences ,Biotechnology,"18 Crosby Drive, Bedford, MA",42.506774,-71.243579
Jupiter Wellness ,Personal Products,"725 North Higway A1A, Jupiter, FL",26.936558,-80.131851
Jo-Ann Stores ,Specialty Retail,"5555 Darrow Road, Hudson, OH",41.21488,-81.437923
JFrog ,Software Development Applications,"270 East Caribbean Drive, Sunnyvale, CA",37.416257,-122.01345
Janux Therapeutics ,Drug Discovery,"11099 North Torrey Pines Road, La Jolla, CA",32.904397,-117.243087
Jamf ,Network Management Software,"100 Washington Avenue South, Minneapolis, MN",44.981085,-93.265673
iSpecimen ,Biotechnology,"450 Bedford Street, Lexington, MA",42.473681,-71.250844
Integral Ad Science ,Media and Information Services (B2B),"95 Morton Street, New York, NY",40.731229,-74.008608
IntApp ,Business/Productivity Software,"3101 Park Boulevard, Palo Alto, CA",37.425106,-122.136162
Insurance Auto Auctions ,Automotive,"Two Westbrook Corporate Center, Westchester, IL",40.912483,-73.810654
Instil Bio ,Biotechnology,"3963 Maple Avenue, Dallas, TX",32.805004,-96.81601
Inozyme Pharma ,Drug Discovery,"321 Summer Street, Boston, MA",42.34917,-71.04866
InnovAge ,Elder and Disabled Care,"8950 East Lowry Boulevard, Denver, CO",39.723917,-104.883122
InMode ,Medical Supplies,"192 Technology Unit A&B, Irvine, CA",33.666984,-117.748477
Inhibrx ,Drug Discovery,"11025 North Torrey Pines Road, La Jolla, CA",32.9038,-117.242961
Inhibikase Therapeutics ,Pharmaceuticals,"3350 Riverwood Parkway, Atlanta, GA",33.877907,-84.458219
Inari Medical ,Surgical Devices,"9 Parker, Irvine, CA",33.653613,-117.707307
Impel NeuroPharma ,Pharmaceuticals,"201 Elliott Avenue West, Seattle, WA",47.61972,-122.360328
Immunome ,Biotechnology,"665 Stockton Drive, Exton, PA",40.064381,-75.686701
Immuneering ,Drug Discovery,"245 Main Street, Cambridge, MA",42.362644,-71.084966
Imara ,Biotechnology,"116 Huntington Avenue, Boston, MA",42.34651,-71.07976
Imago BioSciences ,Drug Discovery,"329 Oyster Point Boulevard, South San Francisco, CA",37.662672,-122.387571
Ikena Oncology ,Drug Discovery,"645 Summer Street, Boston, MA",42.341787,-71.040378
iHeartMedia ,"Broadcasting, Radio and Television","32 Avenue of the Americas, New York, NY",40.720084,-74.004989
IGM Biosciences ,Biotechnology,"325 East Middlefield Road, Mountain View, CA",37.39655,-122.059265
IDEAYA Biosciences ,Drug Discovery,"7000 Shoreline Court, South San Francisco, CA",37.657443,-122.423483
Icosavax ,Drug Discovery,"1616 Eastlake Avenue East, Seattle, WA",47.634638,-122.324735
Ibex ,Business/Productivity Software,"1700 Pennsylvania Avenue Northwest, Washington, DC",38.898657,-77.039958
Hydrofarm ,Other Commercial Products,"2249 South McDowell Extension, Petaluma, CA",38.229203,-122.59215
Hoth Therapeutics ,Therapeutic Devices,"One Rockefeller Plaza, New York, NY",40.70562,-74.017253
Hookipa Pharma ,Biotechnology,"430 East 29th Street, New York, NY",40.740306,-73.975213
Home Point Financial ,Thrifts and Mortgage Finance,"2211 Old Earhart Road, Ann Arbor, MI",42.305623,-83.684324
Health Catalyst ,Other Healthcare Technology Systems,"3165 Millrock Drive, Salt Lake City, UT",40.633085,-111.803862
HCW Biologics ,Drug Discovery,"2929 North Commerce Parkway, Miramar, FL",25.982557,-80.281233
Hayward Industries ,Other Commercial Products,"400 Connell Drive, Berkeley Heights, NJ",40.611371,-74.335361
Harpoon Therapeutics ,Biotechnology,"4000 Shoreline Court, South San Francisco, CA",37.657443,-122.423483
Harmony Biosciences ,Drug Discovery,"630 West Germantown Pike, Plymouth Meeting, PA",40.120514,-75.284357
Guild Mortgage Company ,Thrifts and Mortgage Finance,"Post Office Box 85304, San Diego, CA",32.841372,-117.199937
Guardion Health Sciences ,Other Pharmaceuticals and Biotechnology,"15150 Avenue of Science, San Diego, CA",32.991044,-117.081859
Grocery Outlet ,Department Stores,"5650 Hollis Street, Emeryville, CA",37.838073,-122.288562
Greenlane ,Distributors/Wholesale,"1095 Broken Sound Parkway North West, Boca Raton, FL",26.401101,-80.110586
Graybug Vision ,Drug Delivery,"275 Shoreline Drive, Redwood City, CA",37.524354,-122.258576
Graphite Bio ,Biotechnology,"US-SSF-EGA4, South San Francisco, CA",37.657443,-122.423483
Gossamer Bio ,Biotechnology,"3013 Science Park Road, San Diego, CA",32.901124,-117.240063
GoodRx Holdings ,Information Services (B2C),"2701 Olympic Boulevard, Santa Monica, CA",34.028793,-118.467588
GoHealth ,Information Services (B2C),"214 West Huron Street, Chicago, IL",41.895033,-87.634859
Generation Bio ,Biotechnology,"301 Binney Street, Cambridge, MA",42.366593,-71.087969
GBS ,Monitoring Equipment,"708 3rd Avenue, 6th Floor, New York, NY",40.75233,-73.973529
Gatos Silver ,"Other Metals, Minerals and Mining","8400 East Crescent Parkway, Greenwood Village, CO",39.621919,-104.888604
Galera Therapeutics ,Drug Discovery,"2 West Liberty Boulevard, Malvern, PA",40.053075,-75.529891
Gain Therapeutics ,Drug Discovery,"4800 Hampden Lane, Bethesda, MD",38.982493,-77.095061
Fulcrum Therapeutics ,Drug Discovery,"26 Landsdowne Street, Cambridge, MA",42.361022,-71.099023
FTC Solar ,Alternative Energy Equipment,"9020 North Capital of Texas Highway, Building 1, Austin, TX",30.388372,-97.757191
Frequency Therapeutics ,Drug Discovery,"19 Presidential Way, Woburn, MA",42.524541,-71.139175
Forma Therapeutics ,Drug Discovery,"500 Arsenal Street, Watertown, MA",42.363856,-71.160442
